Nro,Nombre,Director,Niveles,Dependencia,Orientacion,Direccion,Region,Comuna,Telefono,Pagina
1,LICEO POLITECNICO ARICA,DAVID EDUARDO QUIROGA BOCCHIO,I Medio - IV Medio,Público,I Medio - IV Medio,18 DE SEPTIEMBRE 2221,De Arica Y Parinacota,Arica,241122,
4,LICEO OCTAVIO PALMA PEREZ,JUAN GUILLERMO JORDÁN ARIAS,I Medio - IV Medio,Público,I Medio - IV Medio,SANTA MARIA 1697,De Arica Y Parinacota,Arica,2206151,
5,JOVINA NARANJO FERNANDEZ,JUAN ALDO ZENTENO RAMÍREZ,1º Básico - IV Medio,Público,1º Básico - IV Medio,JUAN NOE 555,De Arica Y Parinacota,Arica,2253911,Sin información
7,L. POLI. ANTONIO VARAS DE LA BARRA,SERGIO ENRIQUE CASTILLO GAMBOA,I Medio - IV Medio,Público,I Medio - IV Medio,AVENIDA LOA POBL. CHILE 2200,De Arica Y Parinacota,Arica,2382085,
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,MAYCOLE FRANCOISE SALAMANCA WELSCH,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,SAN MARCOS 611,De Arica Y Parinacota,Arica,2231593,
9,ESCUELA REPUBLICA DE ISRAEL,RUTH VIRGINIA DINI VALENZUELA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MAGALLANES 1860,De Arica Y Parinacota,Arica,442207119,
10,ESCUELA REPUBLICA DE FRANCIA,DORIANNE MARÍA LYDA LLANOS SOTO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,MARIA ILIA DEL PINO 728,De Arica Y Parinacota,Arica,442207106,Sin información
11,ESC. GRAL. PEDRO LAGOS MARCHANT,JEAN MAGGIE ANN FERNÁNDEZ LLERENA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA R. SOTOMAYOR 1639,De Arica Y Parinacota,Arica,287902,Sin información
12,ESCUELA GRAL JOSE MIGUEL CARRERA,FELIPE FABIÁN JERIA ACOSTA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,OSCAR BELMAR 230,De Arica Y Parinacota,Arica,2241245,Sin información
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ROSA ELIANA LÓPEZ RODRÍGUEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,BALMACEDA 2450,De Arica Y Parinacota,Arica,2222299,Sin información
14,ESCUELA ROMULO J. PENA MATURANA,GASTÓN ANDRÉS BERRÍOS ALCAYAGA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,LAS ACACIAS 2283,De Arica Y Parinacota,Arica,2241430,
16,ESCUELA REGIMIENTO RANCAGUA,DANIEL YAMANDU LORENZO MORENO ZÚÑIGA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVDA. SANTA MARIA 1550,De Arica Y Parinacota,Arica,44220711,
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,RICHARD CLAUDIO MORALES CAMPUSANO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,"POBLACION EDUARDO FREI MONTALVA, PASAJE REAL ARMADA 1459",De Arica Y Parinacota,Arica,2207116,
18,ESC. COMTE. JUAN JOSE SAN MARTIN,ANGGIE ELIZABETH CASTILLO CARTER,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ANGEL BRASS 2545,De Arica Y Parinacota,Arica,442207117,Sin información
19,ESC. HUMBERTO VALENZUELA GARCIA,CÉSAR ROY CASO CASO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,CODPA 2300,De Arica Y Parinacota,Arica,442207141,
20,ESCUELA TUCAPEL,RAÚL ADRIÁN HUENTECURA CONDORI,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,TUCAPEL 2075 2075,De Arica Y Parinacota,Arica,2222463,
22,ESCUELA GABRIELA MISTRAL,ANA MARÍA MELGAR VÉLIZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA LA CONCEPCIÓN 3580,De Arica Y Parinacota,Arica,442207124,
25,COLEGIO CENTENARIO DE ARICA,JULIO ORLANDO VARGAS LOBOS,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,EL ROBLE 4016 POBL.CARDENAL RAUL SILVA HENRIQUEZ 4016,De Arica Y Parinacota,Arica,211532,
26,ESCUELA REPUBLICA DE ARGENTINA,ALEJANDRA CARMEN ESPINOZA DÍAZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ROMULO PEÑA 1275,De Arica Y Parinacota,Arica,442207137,Sin información
27,ESCUELA ESMERALDA,MARYSOL SOFÍA TERESA MONDACA RAITERI,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,JOSE JOAQUIN VALLEJOS 106,De Arica Y Parinacota,Arica,44220714,Sin información
28,ESCUELA RICARDO SILVA ARRIAGADA,LUIS HERNÁN BARNAO ASTUDILLO,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,ABRAHAM MEDINA 1760,De Arica Y Parinacota,Arica,241284,
29,ESCUELA AMERICA,JUAN MANUEL IGLESIAS FERNÁNDEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,AVENIDA CAPITÁN AVALOS 2606,De Arica Y Parinacota,Arica,2222097,Sin información
31,ESCUELA DARIO SALAS DIAZ,ARTURO FRANCISCO YÉVENES ACUÑA,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,"CAMINO FISCAL AZAPA KM.3,6 S/N",De Arica Y Parinacota,Arica,224642,Sin información
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,RUBÉN DARÍO ARREDONDO DÍAZ,Pre-Kinder - IV Medio,Público,Pre-Kinder - IV Medio,KM. 12 SAN MIGUEL - AZAPA S/N,De Arica Y Parinacota,Arica,2223294,
33,ESCUELA CARLOS CONDELL DE LA HAZA,NICOLÁS CRESCENCIO MONTECINOS GONZÁLEZ,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,"KM 18, VALLE DE LLUTA S/N",De Arica Y Parinacota,Arica,206100,
35,ESCUELA GRAL. MANUEL BAQUEDANO,MARIETTA JUANA MOROSO HENRÍQUEZ,Pre-Kinder - 6º Básico,Público,Pre-Kinder - 6º Básico,VALLE DE LLUTA KM. 27 S/N,De Arica Y Parinacota,Arica,2321080,
36,ESCUELA IGNACIO CARRERA PINTO,LUCY DEL CARMEN SALINAS CENTELLAS,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,EL PEDREGAL POBLACION NUEVA ESPERANZA. 3680,De Arica Y Parinacota,Arica,2221999,
38,ESCUELA ESPAÑA,MARÍA ANGÉLICA SALINAS CAMBERES,Pre-Kinder - 8º Básico,Público,Pre-Kinder - 8º Básico,KILOMETRO 28 VALLE DE AZAPA S/N,De Arica Y Parinacota,Arica,2382087,Sin información
39,ESCUELA PAMPA ALGODONAL,ELCIRA DE LOURDES ZAVALA FUENTES,Kinder - 6º Básico,Público,Kinder - 6º Básico,PAMPA ALGODONAL S/N KM. 45 S/N,De Arica Y Parinacota,Arica,321080,
41,ESCUELA VALLE DE CHACA,HUGO AVELINO CERDA MEDINA,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,PANAMERICANA SUR KM. 50 S/N,De Arica Y Parinacota,Arica,206100,
42,ESCUELA MOLINOS LLUTA,IVÁN PATRICIO ARANCIBIA MUÑOZ,1º Básico - 6º Básico,Público,1º Básico - 6º Básico,RUTA CH 11 KILOMETRO 55 S/N,De Arica Y Parinacota,Arica,2593660,Sin información
